index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.tagesspiegel.de/gesellschaft/panorama/notfalle-madchen-nach-stromschlag-an-bahnhof-in-kritischem-zustand-11940947.html,https://www.tagesspiegel.de/gesellschaft/panorama/notfalle-madchen-nach-stromschlag-an-bahnhof-in-kritischem-zustand-11940947.html,0,www.tagesspiegel.de,Für TikTok-Video auf Güterwaggon geklettert: 13-jähriges Mädchen nach Stromschlag in Schwerte in kritischem Zustand,"Das Kind war auf einen Bahnwaggon geklettert und hatte an eine Oberleitung gefasst. Offenbar war sie mit fünf weiteren Kindern auf dem Gelände unterwegs, um Videoaufnahmen zu machen.",https://www.tagesspiegel.de/images/madchen-durch-stromschlag-auf-guterbahnhof-schwer-verletzt1/alternates/BASE_16_9_W1400/maedchen-durch-stromschlag-auf-gueterbahnhof-schwer-verletzt.jpeg,2024-07-02T06:58:24Z,,"Ein 13-jähriges Mädchen ist offenbar im Rahmen einer Aufnahme für das Videoportal TikTok schwer verletzt worden. In Schwerte, NRW, hatte das Kind einen Bahnwaggon erklommen und dabei einen Stromschla… [+1827 chars]",,de,'Blackout'
https://www.stern.de/wirtschaft/news/arbeitsmarkt--fast-jeder-dritte-aeltere-will-vor-der-rente-aus-dem-job-34845750.html,https://www.stern.de/wirtschaft/news/arbeitsmarkt--fast-jeder-dritte-aeltere-will-vor-der-rente-aus-dem-job-34845750.html,0,www.stern.de,Arbeitsmarkt: Fast jeder dritte Ältere will vor der Rente aus dem Job,Berlin - Fast jede und jeder dritte ältere Erwerbstätige will vor dem regulären Rentenalter aus dem Job ausscheiden. In der Altersgruppe ab 50,https://image.stern.de/34845752/t/9C/v1/w1440/r1.7778/-/02--5ysjl44h7vv10axw800h600jpeg---977b48ec7154b8e9.jpg,2024-07-02T09:00:37Z,,"Viele Unternehmen wollen ihre älteren Beschäftigten halten. Doch die wollen oft nicht - auch weil ihre Firma zu wenig dafür tut.
Fast jede und jeder dritte ältere Erwerbstätige will vor dem reguläre… [+3329 chars]",,de,'Ältere'
