week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-02,-0.07316716626265993,1.0,-0.5381084832878656,1.0,1.0
2022-03,0.1855895891148442,1.0,-0.5773502691896257,1.0,1.0
2022-04,1.0370855759939603,1.0,-0.5381084832878656,1.0,1.0
2022-05,-0.12358833336883686,0.3028638935455685,-0.12297452269928551,0.3596134365804984,6.0
2022-07,-0.11281193320959372,1.0,-0.408248290463863,1.0,1.0
2022-08,-0.07316716626265993,1.0,-0.5381084832878656,1.0,1.0
2022-10,0.7122793391901509,0.24377076601842523,-0.66593540384721,0.2628007193583283,3.0
2022-11,-0.07316716626265993,1.0,-0.5381084832878656,1.0,1.0
2022-12,-0.11281193320959372,1.0,-0.408248290463863,1.0,1.0
2022-13,0.0,1.0,0.0,1.0,1.0
2022-14,-1.405952511142789,0.9883171093106434,-0.5818774305366521,1.0,2.0
2022-15,-0.01430885868759798,1.0,-0.49150158203520145,1.0,1.0
2022-16,-1.331180811873207,1.0,-0.408248290463863,1.0,1.0
2022-17,-0.8574971889822445,0.6771055564230305,-0.46696229883541096,0.10511390260421455,3.0
2022-18,0.5929844790913122,1.0,-0.5381084832878656,1.0,1.0
2022-19,-0.25598316659440645,0.5661320979185187,0.06056379846493387,0.8629849390775943,3.0
2022-20,0.932638380039472,1.0,-0.34622702105079584,1.0,1.0
2022-21,0.11746068617169174,1.5143750350994845,0.9498183508993033,1.5346638872791507,3.0
2022-24,0.4004444700821126,1.021744860564684,-0.7727787024568539,0.05687757426137208,3.0
2022-25,0.03205899689010622,0.3919994472680293,-0.6052017650115027,0.1340691602880958,4.0
2022-26,0.35785187941955915,0.5034028132729612,-0.5193419419960061,0.1893020209833104,5.0
2022-27,-0.5313743010143799,0.5727207303515036,0.34769580350962476,1.3857204347203933,8.0
2022-28,-0.05479949749639131,1.0640037527436776,-0.6067985228601697,0.22197621052392733,12.0
2022-29,-0.1806327903851947,1.066248695562156,-0.4607035207383115,0.4691983887676828,8.0
2022-30,-0.15839812613296814,0.774091967558224,0.24398800900272524,1.3184774194662652,10.0
2022-31,-0.6905665072209658,0.4502540571855403,-0.268263731409595,0.6265449972536954,6.0
2022-32,-0.1399817646402196,0.8302923802692257,-0.05761694786928612,0.939499586932637,4.0
2022-33,-0.29270301388303555,0.0,0.6259246416145003,1.6625259110943993,2.0
2022-34,0.11435988795344554,1.0032216405387804,-0.16654650107297628,0.9005083483669346,4.0
2022-35,-0.7303363832438703,0.676244882422712,-0.06707597944624671,1.0434948440978757,2.0
2022-36,-0.2762895313051214,0.9827368641235398,0.06856358042292245,1.6938619124151995,7.0
2022-37,0.2408912911100663,1.2925055951529534,0.6100821485351295,1.120813485455824,4.0
2022-38,-0.32156292866744624,0.9718953948403505,-0.13160047369582362,0.9838167439138488,18.0
2022-39,-0.16071389099862385,0.9541736407294237,0.018335249434233463,1.0641325881825314,89.0
2022-40,-0.06302856476625536,0.9213854160272994,0.06993466284131536,0.9980234713287355,100.0
2022-41,0.07829800235652774,0.9722332877061323,-0.0825918209240901,0.9911485430466339,208.0
2022-42,0.0980283714684823,0.9630601409016346,-0.09041695522434204,0.8526089643565413,280.0
2022-43,-0.07441482599271372,0.9342265430890291,0.07602639789638455,1.0434281505195737,247.0
2022-44,0.08242701051187458,0.9393332198277469,0.11573440063503089,1.124363569705053,259.0
2022-45,-0.009019161523222557,1.0109400902851833,0.08119576701662293,0.9969069325067139,258.0
2022-46,0.051961828388374494,1.067793693037808,-0.047166710980301445,1.009668480029225,288.0
2022-47,-0.048381360349781084,0.9948510689170097,-0.03197472183557377,0.8563033404033835,290.0
2022-48,-0.1005785679105229,0.9609207280029389,-0.06862247278767035,0.8470841802780988,225.0
2022-49,0.00935877693579935,1.012339952280371,-0.09404463226904759,0.7425842044005053,187.0
2022-50,-0.030738877669388032,1.0389291492193276,0.15823353853062425,1.1797113330810851,222.0
2022-51,0.14978684478311308,0.958657651418542,0.010746537113715503,1.0252777127819004,127.0
2022-52,0.11966118500452189,0.943082951469132,0.10674553155249848,1.0483280880507388,69.0
