index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu,https://www.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu,0,www.zeit.de,Kinder und Hitze: Schlaflos und erschöpft – Hitze setzt Kindern zu,Hier finden Sie Informationen zu dem Thema „Kinder und Hitze“. Lesen Sie jetzt „Schlaflos und erschöpft – Hitze setzt Kindern zu“.,https://img.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu-image-group/wide__1300x731,2025-07-01T02:00:49Z,,"Bei Hitzewellen wie in diesen Tagen leiden drei von vier Kindern und Jugendlichen in Baden-Württemberg deutlich, sie schlafen schlecht, haben Kopfschmerzen und sind müde. Nach dem neuen DAK Kinder- u… [+1564 chars]",,de,'Kinder'
https://www.zeit.de/arbeit/2025-06/wohlstandsverwahrlosung-kinder-eltern-psychologie-selbststaendigkeit,https://www.zeit.de/arbeit/2025-06/wohlstandsverwahrlosung-kinder-eltern-psychologie-selbststaendigkeit,0,www.zeit.de,"Wohlstandsverwahrlosung: ""Kinder spüren, ob Eltern innerlich beim nächsten Meeting sind""","Manche Kinder haben materiell alles, aber ihre Eltern arbeiten ständig. Therapeuten und Lehrer erklären, wie fehlende emotionale Nähe zu Wohlstandsverwahrlosung führt.",https://img.zeit.de/arbeit/2025-06/wohlstandsverwahrlosung-kinder-eltern-psychologie-selbststaendigkeit-2/wide__1300x731,2025-07-01T07:16:44Z,,"Das neue Smartphone, das teure Hobby: Manche Kinder haben augenscheinlich alles doch was sie wirklich brauchen, fehlt oft. Ein häufiger Grund: Eltern, die für den Wohlstand der Familie zu viel arbeit… [+377 chars]",,de,'Kinder'
https://www.deutsche-startups.de/2025/07/01/startupticker-zolar-enter-babbel/,https://www.deutsche-startups.de/2025/07/01/startupticker-zolar-enter-babbel/,0,www.deutsche-startups.de,#StartupTicker - +++ Zolar +++ Enter +++ Babbel +++ Fermify +++ Brightmind.AI +++,"+++ #StartupTicker +++ Zolar setzt mit 86 Millionen Umsatz auf ""Sanierung in Eigenverwaltung"" +++ Enter und die längst vergangene Investmentrunde +++ Babbel: Tim Allen folgt auf Markus Witte +++ Fermify-Gründerin muss abtreten +++ Brightmind.AI braucht dringe…",https://www.deutsche-startups.de/app/uploads/2024/04/ds-unicorn-feld-flieger-ki.jpg,2025-07-01T09:55:47Z,,"Was gibtsNeues? In unserem #StartupTicker liefern wir eine kompakte Übersicht über die wichtigsten Startup-Nachrichten des Tages (Dienstag, 1. Juli).
#STARTUPLAND
SAVE THE DATE: Am 5. November find… [+3395 chars]",,de,'Sanierung'
