topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Armut,-0.12539503709731736,0.8903787009012373,0.4492780585860664,1.1614930201543199,61.0
Fossile Energie,0.029699270174106143,0.9631446864242628,-0.034895144975995274,0.953123855033278,930.0
Gesundheit,-0.1653098669619089,1.1078798947292545,0.03483254091473142,0.8834656389716565,145.0
Politik,0.018535459120002214,0.9490505963956813,0.007435081739196896,1.016305188240199,334.0
