index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2026-08/01/mehr-kinder-werden-opfer-von-gewalt,https://www.zeit.de/news/2026-08/01/mehr-kinder-werden-opfer-von-gewalt,0,www.zeit.de,Kriminalitätsstatistik: Mehr Kinder werden Opfer von Gewalt,Hier finden Sie Informationen zu dem Thema „Kriminalitätsstatistik“. Lesen Sie jetzt „Mehr Kinder werden Opfer von Gewalt“.,https://img.zeit.de/news/2026-08/01/mehr-kinder-werden-opfer-von-gewalt-image-group/wide__1300x731,2026-08-01T02:30:06Z,,Die Zahl der Kinder unter Gewaltopfern ist in den vergangenen Jahren in Niedersachsen gestiegen. Das geht aus einer Antwort des Niedersächsischen Justizministeriums auf eine Kleine Anfrage der CDU he… [+2369 chars],,de,'Kinder'
https://www.nzz.ch/international/klimawandel-mais-bien-sur-die-kehrtwende-der-le-pen-partei-nach-den-waldbraenden-ld.10017450,https://www.nzz.ch/international/klimawandel-mais-bien-sur-die-kehrtwende-der-le-pen-partei-nach-den-waldbraenden-ld.10017450,0,www.nzz.ch,Klimawandel? Mais bien sûr. Die Kehrtwende der Le-Pen-Partei nach den Waldbränden,"Jahrzehntelang hatten Frankreichs Rechtsextreme den Klimawandel geleugnet. Seit enorme Feuer lodern, spricht das Rassemblement national auf einmal darüber – und empfiehlt noch mehr Atomkraft und Klimaanlagen.","https://img-msp-prod.nzz.ch/2026/07/29/0ca6b124-5da1-4815-9548-c078fe083b6e.jpg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=1988,1118,x0,y507&wmark=nzz",2026-08-02T03:30:00Z,,"Jahrzehntelang hatten Frankreichs Rechtsextreme den Klimawandel geleugnet. Seit enorme Feuer lodern, spricht das Rassemblement national auf einmal darüber  und empfiehlt noch mehr Atomkraft und Klima… [+7128 chars]",,de,'Atomkraft'
https://www.zeit.de/arbeit/2026-07/abteilungsleiter-forschung-entwicklung-gehalt-kontoauszug,https://www.zeit.de/arbeit/2026-07/abteilungsleiter-forschung-entwicklung-gehalt-kontoauszug,0,www.zeit.de,Abteilungsleiter in der Forschung: »Bei meiner Verantwortung wäre ein höheres Gehalt angemessen«,"Gideon, 36, verdient als Leiter eines Forschungsteams 8.000 Euro im Monat. Das meiste davon steckt er in die Sanierung seines Hauses und in ETFs. Der Kontoauszug",https://img.zeit.de/arbeit/2026-07/abteilungsleiter-forschung-entwicklung-gehalt-kontoauszug-bild/wide__1300x731,2026-08-02T03:30:52Z,,"Schließen
Artikelzusammenfassung
Ein Entwicklungsleiter mit Chemie-Background jongliert Millionenbudgets, 30 bis 40 Industrieprojekte und den Erwartungsdruck des Managements und erzählt dabei ersta… [+1377 chars]",,de,'Sanierung'
